Date,Open,High,Low,Close,Adj Close,Volume
2006-05-05,51.779999,51.980000,51.779999,51.980000,44.424011,2000
2006-05-08,51.950001,51.950001,51.720001,51.779999,44.253075,8400
2006-05-09,51.820000,51.820000,51.680000,51.730000,44.210350,10800
2006-05-10,51.799999,52.139999,51.790001,51.970001,44.415451,59500
2006-05-11,51.939999,51.980000,51.360001,51.389999,43.919769,11300
2006-05-12,51.049999,51.049999,50.290001,50.290001,42.979671,4300
2006-05-15,50.049999,50.180000,49.840000,50.160000,42.868572,3100
2006-05-16,50.180000,50.290001,50.000000,50.080002,42.800220,5300
2006-05-17,49.320000,49.320000,48.900002,48.900002,41.791737,35800
2006-05-18,49.099998,49.119999,48.410000,48.410000,41.372963,2500
2006-05-19,48.400002,48.900002,48.320000,48.660000,41.586628,11700
2006-05-22,48.400002,48.970001,48.380001,48.770000,41.680645,8700
2006-05-23,49.000000,49.060001,48.400002,48.400002,41.364418,5500
2006-05-24,47.840000,48.220001,47.459999,48.009998,41.031101,525100
2006-05-25,48.209999,48.490002,48.209999,48.240002,41.227673,2900
2006-05-26,48.580002,48.580002,48.419998,48.520000,41.466965,1300
2006-05-30,48.419998,48.419998,47.889999,47.889999,40.928543,35600
2006-05-31,48.049999,48.139999,47.860001,48.139999,41.142208,3700
2006-06-01,48.150002,48.830002,48.150002,48.830002,41.731907,3100
2006-06-02,49.080002,49.080002,48.630001,48.799999,41.706276,2000
2006-06-05,48.700001,48.700001,48.000000,48.130001,41.133663,3700
2006-06-06,47.369999,47.369999,47.139999,47.139999,40.287571,5800
2006-06-07,47.380001,47.840000,47.290001,47.290001,40.415768,9600
2006-06-08,47.099998,47.180000,46.099998,47.180000,40.321754,4900
2006-06-09,47.270000,47.430000,47.000000,47.000000,40.167915,1100
2006-06-12,46.799999,46.799999,45.759998,45.759998,39.108192,34000
2006-06-13,45.470001,45.650002,44.990002,45.099998,38.544102,323000
2006-06-14,45.200001,45.689999,45.200001,45.689999,39.048347,1900
2006-06-15,45.939999,47.200001,45.939999,47.200001,40.338844,9900
2006-06-16,47.200001,47.299999,46.849998,47.110001,40.261932,18600
2006-06-19,46.849998,46.849998,46.419998,46.419998,39.672230,2200
2006-06-20,46.400002,46.580002,46.180000,46.259998,39.535500,3200
2006-06-21,46.299999,47.110001,46.299999,46.990002,40.159374,5500
2006-06-22,46.700001,46.700001,46.450001,46.650002,39.900227,3000
2006-06-23,46.320000,46.849998,46.320000,46.650002,39.900227,3400
2006-06-26,46.450001,46.509998,46.299999,46.509998,39.780483,7400
2006-06-27,46.599998,46.599998,45.869999,45.980000,39.327148,2500
2006-06-28,45.869999,45.869999,45.570000,45.810001,39.181744,2000
2006-06-29,46.639999,47.040001,46.389999,47.040001,40.233788,4300
2006-06-30,47.099998,47.169998,47.099998,47.169998,40.344971,4600
2006-07-03,47.250000,47.369999,47.250000,47.369999,40.516041,1500
2006-07-05,47.150002,47.150002,46.820000,47.070000,40.259441,28800
2006-07-06,47.279999,47.540001,47.220001,47.310001,40.464733,297800
2006-07-07,47.150002,47.349998,46.770000,46.849998,40.071270,152500
2006-07-10,47.200001,47.369999,46.910000,47.000000,40.199570,71700
2006-07-11,47.049999,47.919998,46.840000,47.860001,40.935150,33500
2006-07-12,47.919998,47.939999,47.349998,47.450001,40.584469,26500
2006-07-13,47.220001,47.230000,46.590000,46.700001,39.942978,23500
2006-07-14,46.299999,46.299999,45.580002,46.009998,39.352818,10500
2006-07-17,46.099998,46.200001,45.599998,45.700001,39.087666,18700
2006-07-18,45.900002,46.040001,45.160000,45.830002,39.198860,8700
2006-07-19,45.950001,47.160000,45.950001,47.160000,40.336422,60700
2006-07-20,47.200001,47.490002,46.500000,46.500000,39.771912,38200
2006-07-21,46.400002,46.400002,46.020000,46.259998,39.566654,10100
2006-07-24,46.430000,47.090000,46.430000,47.090000,40.276573,6000
2006-07-25,47.150002,48.240002,47.150002,48.110001,41.148960,17800
2006-07-26,47.990002,47.990002,47.380001,47.689999,40.789738,56200
2006-07-27,47.900002,48.060001,47.230000,47.369999,40.516041,30800
2006-07-28,47.599998,47.709999,47.299999,47.610001,40.721302,22200
2006-07-31,47.430000,47.590000,47.330002,47.500000,40.627228,37100
2006-08-01,47.250000,47.250000,46.970001,47.240002,40.404850,13400
2006-08-02,47.200001,47.500000,47.099998,47.310001,40.464733,5800
2006-08-03,47.099998,47.459999,46.799999,47.369999,40.516041,64700
2006-08-04,47.750000,47.759998,46.980000,47.169998,40.344971,10500
2006-08-07,47.130001,47.130001,46.650002,46.970001,40.173916,6900
2006-08-08,47.200001,47.200001,46.349998,46.400002,39.686394,10500
2006-08-09,46.880001,46.880001,45.700001,45.720001,39.104778,15000
2006-08-10,45.639999,46.250000,45.400002,46.130001,39.455452,21000
2006-08-11,46.150002,46.150002,45.630001,45.779999,39.156094,10200
2006-08-14,46.099998,46.430000,45.869999,45.889999,39.250175,4900
2006-08-15,46.400002,46.740002,46.400002,46.730000,39.968620,12200
2006-08-16,47.029999,47.680000,47.029999,47.610001,40.721302,92700
2006-08-17,47.599998,47.950001,47.470001,47.820000,40.900940,48100
2006-08-18,47.849998,47.849998,47.540001,47.790001,40.875278,5700
2006-08-21,47.689999,47.689999,47.279999,47.450001,40.584469,32300
2006-08-22,47.400002,47.610001,47.200001,47.410000,40.550255,92900
2006-08-23,47.400002,47.580002,46.889999,46.970001,40.173916,11100
2006-08-24,47.200001,47.200001,46.820000,46.860001,40.079830,8700
2006-08-25,46.799999,46.810001,46.439999,46.619999,39.874550,14700
2006-08-28,46.599998,47.169998,46.599998,47.169998,40.344971,7700
2006-08-29,47.299999,47.320000,46.889999,47.290001,40.447609,5700
2006-08-30,47.330002,47.570000,47.160000,47.500000,40.627228,16000
2006-08-31,47.639999,47.750000,47.549999,47.650002,40.755535,5200
2006-09-01,47.730000,48.150002,47.730000,48.000000,41.054886,4300
2006-09-05,48.099998,48.490002,47.970001,48.450001,41.439777,6100
2006-09-06,48.400002,48.400002,47.900002,47.910000,40.977901,6500
2006-09-07,47.950001,47.950001,47.490002,47.520000,40.644341,5200
2006-09-08,47.700001,47.730000,47.619999,47.619999,40.729870,6000
2006-09-11,47.459999,47.900002,47.400002,47.770000,40.858154,10100
2006-09-12,47.799999,47.799999,47.470001,47.740002,40.832512,3800
2006-09-13,47.799999,48.130001,47.720001,48.070000,41.114765,10000
2006-09-14,48.099998,48.099998,47.810001,47.990002,41.046337,10800
2006-09-15,48.320000,48.419998,48.080002,48.250000,41.268707,4500
2006-09-18,48.320000,48.490002,48.150002,48.310001,41.320026,5300
